"promise","goal"
"도시안전예산 확대 및 통합관리","○ 안전예산 우선순위에 따라 적재적소에 필요한 예산을 우선 확보하여 시민 누구나 안심하고 살 수 있는「안전특별시 서울」구현"
"시장 직속의 <재난컨트롤타워> 설치","○ 재난 발생시 신속하고 현장 대응력을 제고한 재난컨트롤타워 기능 수행"
"‘골든타임(황금시간) 목표제’ 실행","○ 재난현장 시민초동대응 역량 강화 ⇒ 황금시간 목표제 실행의 핵심"
"교통사망사고 50% 감축 추진","○ ’12년 대비 ’20년까지 교통사고 사망자수 50% 감축
- 임기내(’18.6월) 교통사고 사망자수 40% 감축(’12년 대비)"
"장기사용 노후전동차 호선별로 2022년까지 전면 교체","○ 전동차 정밀진단 결과에 따라 1호선 전동차는 대수선 조치하고 장기사용 2,3호선 노후전동차 620량은 2022년까지 연차별로 교체
- ’18. 6월까지 1호선 68량 대수선, 2호선 150량 교체"
"호선별로 분리된 관제센터를 ‘SMART 통합관제’로 통합·운영","○ 공간적인 통합뿐만 아니라 시스템을 기능적으로 통합하여 상호 유기적으로 협력·지원할 수 있는 ‘SMART 통합관제’로 통합?운영"
"사장직속 안전 전담기구 신설","○ 안전관련 업무 전반에 대하여 총괄할 수 있도록 지하철 운영기관 사장 직속의 안전전담기구 신설"
"지하철 내진성능보강, 지하철 노후시설 재투자 등 정부 건의","○ 지하철 안전시설(내진성능 보강, 노후시설 재투자) 사업비와 무임수송으로 인한 손실비용의 시 자체재원 부족분에 대해 국비 지원 요청"
"안전관리시스템 구축 및 외부 협력회사 지도·감독 강화","○ 안전관리 시스템 고도화를 통한 이중·삼중의 안전관리체계 구축
○ 외부협력업체의 관리·운영의 최적화"
"투명한 합동점검·모니터링 상시화 및 전 직원 철도안전 교육 강화","○ 시민, 외부전문가와의 합동점검 모니터링 상시화를 통한 안전관리 투명성 확보 및 안전 저해요인 사전 발굴 해소
○ 안전여건 변화의 능동적인 대응과 효과적인 안전의식 고취를 위한 철도안전학교 등 안전교육 인프라 구축 및 전 직원 철도안전교육 강화"
"34개 상습 침수 피해위험지역 침수피해 해소","○ 34개 상습 침수취약지역 해소로 수해로부터 안전한 도시 구현※ 34개소 침수취약지역 중 ’16년 상반기까지 15개소 주요 대책사업 완료
- ’13년(5개소) : 구의·자양, 면목동, 미아삼거리, 장위동, 가산디지털단지역 주변
- ’14년(4개소) : 영림초교, 장안1동 주민센터, 선릉역, 을지로입구역 주변
- ’15년(3개소) : 신촌현대백화점 일대, 상도동 성대시장 일대, 풍납동 주민센터 일대
- ’16년(3개소) : 용답동답십리역 일대, 공릉초교 주변, 공항펌프장 주변"
"어린이 보호구역 내 교통사고 ZERO 목표로 종합대책 추진","○ 2016년 어린이보호구역 내 교통사고 50% 감축, 2020년까지 ZERO화 달성(’18.6월까지 75% 감축)"
"어린이 안전을 위한 초등학교 스쿨버스 도입","○ 초등학교 스쿨버스 33개교 운영(시범운영)"
"저학년 초등학생 통학거리 안전보장","○ 초등학교 어린이 등·하교 교통안전지도사 운영"
"금천가산「G밸리 飛上 프로젝트」본격화","○ 일하고(Work), 삶을 누리며(Live), 문화와 여유가 있는(Play) ‘신산업성장동력 클러스터’ 조성"
"상암DMC·수색 고도화를 향한 혁신사업 추진","○ DMC 기능의 확대?발전 및 수색과 주변지역의 연계성 강화를 통해 디지털 미디어 기반의 국제적 창조 경제 중심지로 육성"
"동대문 창조경제 클러스터 육성","○ 도심산업 동반성장을 위한 창조경제 클러스터 육성"
"신·홍·합 창조밸리 구축사업 추진","○ 지역인프라와 역량을 기반으로 한 다양한 스타트업 기업의 성장 지역안착을 위한 자생적 창업생태계 구축을 통해 창조경제거점 조성"
"개포모바일 융합클러스터 조성사업 추진","○ 다양한 분야간 융합을 통한 신성장동력 창출과 창의적 인력 양성을위한 ‘24시간 소통과 열린 공간’ 조성 운영
○ 창의적인 생각을 가지고 도전하려는 사람들이 모여서 배우고, 놀고, 즐기고,협업하며 새로운 아이디어를 만들어가는 ‘창조적 디지털 생태계 조성’ 운영"
"마곡단지 성장기반 강화를 위한 2대 전략 조속 추진","○ 마곡산업단지의 성장기반 강화를 위하여 공공산업지원시설 및 융합캠퍼스 건립
○ ’18년 6월까지 부지매입 및 건축공사 착공(’20년 준공 예정)"
"창동·상계 대규모 창업단지 조성으로 아시아 지식허브 육성","○ 창동 상계에 자족기능(일자리 창출 등) 등 신경제중심지(CBD) 조성을통한 아시아 지식기반 허브 육성"
"홍릉일대 스마트 에이징 기술 기반 실버산업 클러스터 조성","○ 고령화 사회를 선제적으로 대응하여 서울경제의 재도약과 성장의기회로 전환할 미래사회 준비거점 조성"
"코엑스
-한전·서울의료원 부지
-잠실 운동장으로 이어지는 국제교류 복합단지 조성사업 추진","○ 코엑스~잠실운동장 일대에 국제업무, MICE, 스포츠, 문화엔터테인먼트4대 기능을 유치·강화하여 서울의 미래 먹거리 산업의 핵심공간인 국제교류복합단지 조성사업 추진"
"마곡지구 MICE 단지조성 1단계 사업 추진","○ 마곡지구 특별계획구역은 MICE시설 등 복합개발을 유도하기위하여 지정되었으나, 허용용도로만 지정되어 MICE 시설용도도입여부 불투명
- 특별계획구역 : 업무용지(CP1∼CP3), 82,724㎡
- 허용용도 : 업무시설, 호텔, 문화 및 집회시설, 판매시설 등
○ 마곡지구내 MICE 시설 설치를 유도하기 위하여 가이드라인 및"
"MICE산업 육성을 위하여 ‘전문인력 양성강화’ 및 ‘국내 컨벤션의 국제화 지원’ 등 실시","○ ‘전문인력양성 강화’ 및 ‘국내 MICE의 국제화 지원’ 등을 통해‘세계 최고 MICE 도시 서울’ 조성"
"산업특화지구’(산업특구) 10개소 혁신화·구조 고도화 지원","○ ‘산업특화지구’ 활성화 (개발진흥지구제 사업의 불합리성에 대한 제도 개선및 정체사업에 대한 지구별 여건을 고려하여 후속절차 이행)"
"특화상권 활성화지구’(유통 특구) 15개소 선정·지원","○ 서울내 특화업종별 상권집적지를 유통지구로 지정하여 유통산업 생태계형성 및 업종별 집적지역의 고도화를 통한 지역경제 활성화 도모"
"일자리진흥지구’ 시범 사업 추진","○ 일자리 관련 업체가 밀집된 지역공간을 ‘일자리진흥지구(취업의 거리)’로 지정하고, 특화된 일자리센터 운영으로 새로운 일자리 스토리텔링
○ 앵커시설(카페형 일자리센터) 설치 및 프로그램 운영, 일자리 매칭 지원을통한 고용·복지 공간 조성
○ 일자리 알선업체?민간기업?공공기관 등과 민관 거버넌스를 구축하여민간업체 지원 및 참여 유도"
"자치구별 ‘사회적경제특구(우선지구)’ 육성 지원","○ 사회적경제 특구 지정을 통해 공간적 집약과 체계적 지원으로 사회적경제조직의 지역 내 자생력 강화
○ 사회적경제 특구 내에서 사회적경제를 통한 지역의제 해결 및 지역산업육성의 새로운 방안 시도"
"전문인력 양성사업 구조 고도화 및 ‘2020다빈치 프로젝트’ 신규 추진","○ 서울에 집적된 우수한 연구기관과 인력을 활용, 서울의 미래를 견인할 고부가가치 지식기반산업 분야의 창조전문인력을 양성"
"챌린지 1000프로젝트’ : 3전 4기형 벤처창업 1,000개 지원","○ 연간 250개 우수 창업팀을 선발하여 자금(투자금 형태), 창업공간 제공
○ 멘토링 등 지원 통해, 민선 6기 동안 총 1,000개의 청년 창업기업 양성"
"공공서비스 중심 맞춤형 100대 적합업종 발굴","○ 연차별(’14~’18)로 공공서비스에 적합한 업종 25개씩 발굴, 뉴딜일자리로 우선 추진하여 민간에서의 안착 도모"
"뉴딜 일자리를 포함한 좋은 일자리 추진","○ 뉴딜일자리 10,000개 추진
○ 창조전문인력 양성을 통한 좋은일자리 18,000개
○ 사회적경제 일자리 10,000개"
"종합적 창업지원을 위한 ‘굿 스타트 일자리’","○ 지역사회 문제해결을 추구하는 안정적 지역사회 공공일자리 6,000개 창출
○ 도전형 인재의 벤처창업, 창의성·전문성을 갖춘 ‘1인 창조기업’에 대한 창업 및 성장 지원으로 일자리 5,000개 창출"
"시장 직속 일자리 위원회 신설","○ 시장직속 일자리위원회 설치·운영
○ 일자리지표 개발 및 활용을 통해 일자리 성과지표 혁신과 양질의 지속가능한 일자리 창출방안 마련"
"일자리 유관기관 혁신","○ 전 주기형 창업 지원체계 구축, 민간창업기관과 네트워크 및 협업 강화,성과에 기반한 차등 지원 등을 통한 창업 벤처기업 1,000개 육성
○ 서울일자리플러스센터의 구인·구직 개발 기능 혁신 및 청년 취업 플랫폼 구축 등을 통해 일자리 허브로서의 위상 강화
○ 사회트렌드에 맞는 기술교육원 교육과정 혁신 및 운영 효율화로취약계층의 경제적 자립기반 조성 및 미래산업 필수 기능인력 양성"
"자영업 지원센터’ 설치","○ 자영업 지원 인프라 구축하여 소상공인들의 자생력, 경쟁력 제고로 서울경제 활성화에 기여"
"전통시장, 다시 살림 프로젝트’ 확대 추진","○「전통시장 다시살림 프로젝트」서울형 신시장 확대 (’18년 100개)"
"<전통시장 진흥센터> 설치로 체계적, 종합적 지원","○ 서울시 전통시장 활성화를 위한 심층적인 조사연구 및 서울시만의 특성을 반영한 정책개발 기구 설치
○ 전통시장에 대한 거시적이며 미래지향적인 체계적 사업추진"
"중소기업 지키미 <하도급 호민관제 조례> 제정","○ 시 발주 관급공사의 공정하고 건전한 하도급 문화조성"
"<상가임차인 보호를 위한 특별조례> 제정, 정기적인 실태조사 및 상가임대차 상담.분쟁조정 확대 실시","○ 상가임대차 보호에 관한 법률 및 시행령 개정 추이를 반영한 특별조례제정, 정기적인 실태조사, 분쟁조정 확대로 실질적 임대차보호를 위한 특별조례 제정"
"‘서울형 장기 안심상가’시범 도입","○ 도시재생지역내 임대료 상승 제한 및 적정 임대료로 장기간(5～7년)영업 보장"
"한양도성 세계유산 등재","○ 진정성 있는 보존 철학에 입각한 세계유산 보존체계 구축을 통한 한양도성의 유네스코 세계유산 등재
○ 시민참여 확대를 통한 한양도성의 유산가치 공유"
