강남구갑 이종구
강남구병 이은재
강남구을 전현희
강동구갑 진선미
강동구을 심재권
강북구갑 정양석
강북구을 박용진
강서구갑 금태섭
강서구병 한정애
강서구을 김성태
관악구갑 김성식
관악구을 오신환
광진구갑 전혜숙
광진구을 추미애
구로구갑 이인영
구로구을 박영선
금천구 이훈
노원구갑 고용진
노원구병 안철수
노원구을 우원식
도봉구갑 인재근
도봉구을 김선동
동대문구갑 안규백
동대문구을 민병두
동작구갑 김병기
동작구을 나경원
마포구갑 노웅래
마포구을 손혜원
서대문구갑 우상호
서대문구을 김영호
서초구갑 이혜훈
서초구을 박성중
성북구갑 유승희
성북구을 기동민
송파구갑 박인숙
송파구병 남인순
송파구을 최명길
양천구갑 황희
양천구을 김용태
영등포구갑 김영주
영등포구을 신경민
용산구 진영
은평구갑 박주민
은평구을 강병원
종로구 정세균
중구성동구갑 홍익표
중구성동구을 지상욱
중랑구갑 서영교
중랑구을 박홍근
금정구 김세연
기장군 윤상직
남구갑 김정훈
남구을 박재호
동래구 이진복
부산진구갑 김영춘
부산진구을 이헌승
북구강서구갑 전재수
북구강서구을 김도읍
사상구 장제원
사하구갑 최인호
사하구을 조경태
서구동구 유기준
수영구 유재중
연제구 김해영
중구영도구 김무성
해운대구갑 하태경
해운대구을 배덕광
달서구갑 곽대훈
달서구병 조원진
달서구을 윤재옥
달성군 추경호
동구갑 정종섭
동구을 유승민
북구갑 정태옥
북구을 홍의락
서구 김상훈
수성구갑 김부겸
수성구을 주호영
중구남구 곽상도
계양구갑 유동수
계양구을 송영길
남구갑 홍일표
남구을 윤상현
남동구갑 박남춘
남동구을 윤관석
부평구갑 정유섭
부평구을 홍영표
서구갑 이학재
서구을 신동근
연수구갑 박찬대
연수구을 민경욱
중구동구강화군옹진군 안상수
광산구갑 김동철
광산구을 권은희
동구남구갑 장병완
동구남구을 박주선
북구갑 김경진
북구을 최경환
서구갑 송기석
서구을 천정배
대덕구 정용기
동구 이장우
서구갑 박병석
서구을 박범계
유성구갑 조승래
유성구을 이상민
중구 이은권
남구갑 이채익
남구을 박맹우
동구 김종훈
북구 윤종오
울주군 강길부
중구 정갑윤
세종특별자치시 이해찬
고양시갑 심상정
고양시병 유은혜
고양시을 정재호
고양시정 김현미
광명시갑 백재현
광명시을 이언주
광주시갑 소병훈
광주시을 임종성
구리시 윤호중
군포시갑 김정우
군포시을 이학영
김포시갑 김두관
김포시을 홍철호
남양주시갑 조응천
남양주시병 주광덕
남양주시을 김한정
동두천시연천군 김성원
부천시소사구 김상희
부천시오정구 원혜영
부천시원미구갑 김경협
부천시원미구을 설훈
성남시분당구갑 김병관
성남시분당구을 김병욱
성남시수정구 김태년
성남시중원구 신상진
수원시갑 이찬열
수원시무 김진표
수원시병 김영진
수원시을 백혜련
수원시정 박광온
시흥시갑 함진규
시흥시을 조정식
안산시단원구갑 김명연
안산시단원구을 박순자
안산시상록구갑 전해철
안산시상록구을 김철민
안성시 김학용
안양시동안구갑 이석현
안양시동안구을 심재철
안양시만안구 이종걸
양주시 정성호
여주시양평군 정병국
오산시 안민석
용인시갑 이우현
용인시병 한선교
용인시을 김민기
용인시정 표창원
의왕시과천시 신창현
의정부시갑 문희상
의정부시을 홍문종
이천시 송석준
파주시갑 윤후덕
파주시을 박정
평택시갑 원유철
평택시을 유의동
포천시가평군 김영우
하남시 이현재
화성시갑 서청원
화성시병 권칠승
화성시을 이원욱
강릉시 권성동
동해시삼척시 이철규
속초시고성군양양군 이양수
원주시갑 김기선
원주시을 송기헌
춘천시 김진태
태백시횡성군영월군평창군정선군 염동열
홍천군철원군화천군양구군인제군 황영철
보은군옥천군영동군괴산군 박덕흠
제천시단양군 권석창
증평군진천군음성군 경대수
청주시상당구 정우택
청주시서원구 오제세
청주시청원구 변재일
청주시흥덕구 도종환
충주시 이종배
공주시부여군청양군 정진석
논산시계룡시금산군 김종민
당진시 어기구
보령시서천군 김태흠
서산시태안군 성일종
아산시갑 이명수
아산시을 강훈식
천안시갑 박찬우
천안시병 양승조
천안시을 박완주
홍성군예산군 홍문표
군산시 김관영
김제시부안군 김종회
남원시임실군순창군 이용호
완주군진안군무주군장수군 안호영
익산시갑 이춘석
익산시을 조배숙
전주시갑 김광수
전주시병 정동영
전주시을 정운천
정읍시고창군 유성엽
고흥군보성군장흥군강진군 황주홍
광양시곡성군구례군 정인화
나주시화순군 손금주
담양군함평군영광군장성군 이개호
목포시 박지원
순천시 이정현
여수시갑 이용주
여수시을 주승용
영암군무안군신안군 박준영
해남군완도군진도군 윤영일
경산시 최경환
경주시 김석기
고령군성주군칠곡군 이완영
구미시갑 백승주
구미시을 장석춘
김천시 이철우
상주시군위군의성군청송군 김종태
안동시 김광림
영양군영덕군봉화군울진군 강석호
영주시문경시예천군 최교일
영천시청도군 이만희
포항시남구울릉군 박명재
포항시북구 김정재
거제시 김한표
김해시갑 민홍철
김해시을 김경수
밀양시의령군함안군창녕군 엄용수
사천시남해군하동군 여상규
산청군함양군거창군합천군 강석진
양산시갑 윤영석
양산시을 서형수
진주시갑 박대출
진주시을 김재경
창원시마산합포구 이주영
창원시마산회원구 윤한홍
창원시성산구 노회찬
창원시의창구 박완수
창원시진해구 김성찬
통영시고성군 이군현
서귀포시 위성곤
제주시갑 강창일
제주시을 오영훈
